Product Name,Price,Ratings
"Newest Acer Aspire E 15 Full HD Laptop with 15.6"" 1920x1080 LED-Backlit Display, Intel Core i3-8130U Up to 3.4GHz, 6GB RAM, 1TB HDD, Webcam, DVD, USB 3.1 Type-C, 802.11ac, Bluetooth, HDMI, Windows 10",$360.00,4.0 out of 5 stars
"HP 2019 Premium Flagship Probook 450 G6 15.6 HD Business Laptop, Intel 4-Core i5-8265U, Bluetooth, HDMI, Win 10 Pro, 8GB RAM, 256GB SSD w/ Hesvap Accessories",$693.98,5.0 out of 5 stars
"Dell Inspiron 15 5000 Laptop Computer: Core i7-8550U, 128GB SSD + 1TB HDD, 8GB RAM, 15.6-inch Full HD Display, Backlit Keyboard, Windows 10",$692.86,4.1 out of 5 stars
"2019 HP Probook 450 G6 15.6"" HD Business Laptop (Intel Quad-Core i5-8265U, 16GB DDR4 RAM, 512GB M.2 SSD, UHD 620) Backlit, USB Type-C, RJ45, HDMI, Windows 10 Pro Professional",$697.00,3.7 out of 5 stars
"Microsoft Surface Laptop (1st Gen) D9P-00001 Laptop (Windows 10 S, Intel Core i5, 13.5"" LED-Lit Screen, Storage: 128 GB, RAM: 4 GB) Platinum",$599.99,4.2 out of 5 stars
"LG Gram 17Z990-R.AAS9U1 Thin and Light Laptop, 17"" (2560 X 1600) IPS Display, Intel 8th Gen Core i7, 16GB RAM, 1TB (512GB x 2) Nvme SSD, Up to 19.5 Hour Battery, Thunderbolt 3, Dark Silver","$1,799.99",4.4 out of 5 stars
"Beantech W11046ADB Laptop (Windows 10 Home, Intel Cherry Trail z8300, 11.6"" LCD Screen, Storage: 64 GB, RAM: 4 GB) Black",$219.99,2.2 out of 5 stars
"2019 HP Flagship 15.6-inch HD WLED-Backlit Laptop PC, AMD Dual-Core A6-9225 2.6GHz Processor, 4GB DDR4 SDRAM, 1TB HDD, DVD-RW, Bluetooth, USB 3.1, HDMI, WiFi, AMD Radeon Graphics, Webcam, Windows 10",$339.00,3.9 out of 5 stars
"HP 15.6"" High Performance Touchscreen Laptop PC Intel i3-7100u Dual-Core Processor 8GB Memory 1TB HDD DVD+RW HDMI Webcam WIFI Bluetooth Windows 10-Black",$422.98,3.8 out of 5 stars
"Dell G5 Gaming Notebook Computer 15.6″, Intel Core i7-8750H, Nvidia Geforce GTX 1050Ti 4GB, 8GB RAM, 1TB + 128GB SSD Storage, G5587-7037RED-PUS",$799.00,3.8 out of 5 stars
"HP Pavilion x360 2-in-1 14"" FHD WLED-Backlit Touchscreen Laptop, Intel Quad-Core i5-10210U, 8GB DDR4, 256GB SSD + 16GB Optane, Webcam, Backlit Keyboard, Fingerprint Reader, USB 3.1-C, Windows 10",$649.00,-1
"Lenovo 2019 Premium Flagship ThinkPad E590 15.6 Inch HD Laptop (8th Gen Intel Core i5-8265U up to 3.9 GHz, 8GB DDR4 RAM, 256GB SSD) Bluetooth 5.0, HDMI, Windows 10 Pro",$650.65,4.8 out of 5 stars
